/ / + Math.max + + * Math.max - instancia.p[tarea] Math.max promedioDuraciones() Math.max Math.max Math.max instancia.p[tarea] intervalo.inicio promedioDuraciones() intervalo.inicio null null Math.max - null null Math.max Math.max Math.max - Math.max - null null null null null null null null null null null null intervalo.inicio intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null instancia.d[tarea] promedioDuraciones() intervalo.inicio instancia.p[tarea] intervalo.inicio promedioDuraciones() instancia.d[tarea] instancia.p[tarea] instancia.p[tarea] intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / + Math.max + + * Math.max - instancia.p[tarea] Math.max promedioDuraciones() Math.max Math.max Math.max instancia.p[tarea] intervalo.inicio promedioDuraciones() intervalo.inicio null null Math.max - null null Math.max - Math.max - Math.max - null null null null null null null null null null null null intervalo.inicio intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null instancia.p[tarea] instancia.d[tarea] intervalo.inicio instancia.d[tarea] intervalo.inicio promedioDuraciones() instancia.d[tarea] instancia.p[tarea] intervalo.inicio instancia.p[tarea] instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / + Math.max + + * Math.max - instancia.p[tarea] Math.max promedioDuraciones() Math.max Math.max Math.max instancia.p[tarea] intervalo.inicio promedioDuraciones() intervalo.inicio null null Math.max - null null Math.max - Math.max - Math.max - null null null null null null null null null null null null intervalo.inicio intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null instancia.d[tarea] instancia.d[tarea] intervalo.inicio promedioDuraciones() intervalo.inicio promedioDuraciones() instancia.d[tarea] instancia.p[tarea] instancia.p[tarea] intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / + Math.max + + * Math.max - instancia.p[tarea] Math.max intervalo.inicio Math.max Math.max Math.max intervalo.inicio instancia.p[tarea] promedioDuraciones() intervalo.inicio null null Math.max - null null Math.max - Math.max - Math.max - null null null null null null null null null null null null intervalo.inicio intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null intervalo.inicio instancia.d[tarea] intervalo.inicio promedioDuraciones() intervalo.inicio promedioDuraciones() instancia.d[tarea] instancia.p[tarea] instancia.p[tarea] intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / + Math.max + + * Math.max - instancia.p[tarea] Math.max instancia.d[tarea] + Math.max Math.max instancia.p[tarea] intervalo.inicio promedioDuraciones() promedioDuraciones() null null Math.max - null null instancia.p[tarea] - Math.max - Math.max - null null null null null null null null null null null null intervalo.inicio intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null null null intervalo.inicio promedioDuraciones() intervalo.inicio promedioDuraciones() instancia.d[tarea] instancia.p[tarea] instancia.p[tarea] intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ + Math.max + + + instancia.d[tarea] + + intervalo.inicio Math.min intervalo.inicio * null null instancia.p[tarea] Math.max intervalo.inicio Math.max null null instancia.p[tarea] instancia.d[tarea] null null instancia.p[tarea] 0.9 null null null null null null intervalo.inicio intervalo.inicio null null promedioDuraciones() intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / + Math.max + + * Math.max Math.max instancia.p[tarea] Math.max promedioDuraciones() + Math.max Math.max instancia.p[tarea] intervalo.inicio Math.max - null null Math.max - null null instancia.d[tarea] - Math.max - Math.max - null null null null instancia.p[tarea] intervalo.inicio promedioDuraciones() intervalo.inicio null null null null intervalo.inicio intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null null null intervalo.inicio promedioDuraciones() intervalo.inicio promedioDuraciones() instancia.d[tarea] instancia.p[tarea] instancia.p[tarea] intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / + Math.max + + * Math.max - instancia.p[tarea] Math.max intervalo.inicio Math.max Math.max Math.max intervalo.inicio instancia.p[tarea] promedioDuraciones() intervalo.inicio null null Math.max - null null Math.max - Math.max - Math.max - null null null null null null null null null null null null intervalo.inicio intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null instancia.d[tarea] instancia.p[tarea] intervalo.inicio promedioDuraciones() intervalo.inicio promedioDuraciones() instancia.d[tarea] instancia.p[tarea] intervalo.inicio instancia.p[tarea] instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ + Math.max + + + instancia.d[tarea] + Math.min + + * + null null * Math.min intervalo.inicio intervalo.inicio instancia.p[tarea] Math.max intervalo.inicio / instancia.p[tarea] 0.9 intervalo.inicio / null null null null instancia.p[tarea] 0.9 intervalo.inicio intervalo.inicio null null null null null null intervalo.inicio promedioDuraciones() null null instancia.d[tarea] instancia.d[tarea] null null null null null null instancia.d[tarea] instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / + Math.max + + * Math.max - instancia.p[tarea] Math.max instancia.d[tarea] Math.max Math.max Math.max intervalo.inicio instancia.p[tarea] promedioDuraciones() intervalo.inicio null null Math.max - null null * intervalo.inicio Math.max - Math.max - null null null null null null null null null null null null intervalo.inicio intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null instancia.d[tarea] 0.8 null null intervalo.inicio promedioDuraciones() instancia.d[tarea] instancia.p[tarea] instancia.p[tarea] intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
