/ 0.7 Math.max null null Math.max Math.max null null null null * - 0.4 - null null null null null null null null instancia.p[tarea] 0.4 - * null null - * null null null null null null null null null null null null null null null null null null null null instancia.d[tarea] intervalo.inicio 0.7 instancia.p[tarea] null null null null instancia.p[tarea] intervalo.inicio 0.4 instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ 0.4 Math.max null null * Math.max null null null null instancia.p[tarea] 0.4 - - null null null null null null null null null null null null - * * * null null null null null null null null null null null null null null null null null null null null null null null null instancia.d[tarea] intervalo.inicio 0.7 instancia.p[tarea] instancia.d[tarea] 0.4 intervalo.inicio 0.4 null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ 0.5 Math.max null null Math.max - null null null null * - - * null null null null null null null null instancia.p[tarea] 0.4 - * * 0.7 intervalo.inicio 0.4 null null null null null null null null null null null null null null null null null null null null instancia.d[tarea] intervalo.inicio 0.7 instancia.p[tarea] instancia.d[tarea] 0.4 null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ 0.5 Math.max null null Math.max - null null null null * - - - null null null null null null null null instancia.p[tarea] 0.4 - * - * - * null null null null null null null null null null null null null null null null null null null null instancia.d[tarea] intervalo.inicio 0.7 instancia.p[tarea] instancia.p[tarea] intervalo.inicio 0.4 intervalo.inicio instancia.p[tarea] intervalo.inicio 0.4 instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ 0.4 Math.max null null Math.max Math.max null null null null - - - * null null null null null null null null - * - * - * instancia.p[tarea] 0.4 null null null null null null null null null null null null null null null null instancia.p[tarea] intervalo.inicio 0.7 instancia.p[tarea] instancia.p[tarea] intervalo.inicio instancia.p[tarea] 0.4 instancia.d[tarea] intervalo.inicio 0.7 instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ 0.4 Math.max null null * Math.max null null null null instancia.p[tarea] 0.4 - - null null null null null null null null null null null null * * - * null null null null null null null null null null null null null null null null null null null null null null null null 0.4 instancia.d[tarea] 0.7 intervalo.inicio instancia.d[tarea] intervalo.inicio 0.7 instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / Math.max 0.4 Math.max * Math.max null null * - instancia.p[tarea] 0.4 - - null null null null instancia.p[tarea] 0.4 - * null null null null - * - * null null null null null null null null null null null null instancia.d[tarea] intervalo.inicio 0.7 instancia.p[tarea] null null null null null null null null instancia.p[tarea] intervalo.inicio instancia.d[tarea] 0.4 instancia.d[tarea] intervalo.inicio 0.7 instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ 0.5 Math.max null null Math.max - null null null null * - - * null null null null null null null null instancia.p[tarea] 0.4 - * - 0.7 0.4 instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null instancia.d[tarea] intervalo.inicio 0.7 instancia.p[tarea] instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ 0.4 Math.max null null * Math.max null null null null instancia.p[tarea] 0.4 - - null null null null null null null null null null null null - * - * null null null null null null null null null null null null null null null null null null null null null null null null instancia.d[tarea] intervalo.inicio 0.7 instancia.p[tarea] instancia.p[tarea] intervalo.inicio 0.5 instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ 0.4 Math.max null null - Math.max null null null null - * - * null null null null null null null null intervalo.inicio intervalo.inicio instancia.p[tarea] 0.4 - * instancia.p[tarea] 0.4 null null null null null null null null null null null null null null null null null null null null null null null null instancia.d[tarea] intervalo.inicio 0.7 instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
