NOP: 60
NINT: 18
0 37 1
37 83 2
83 116 3
116 142 4
142 173 5
173 214 6
214 242 7
242 272 8
272 296 9
296 338 10
338 367 9
367 401 8
401 434 7
434 469 6
469 496 5
496 524 4
524 561 3
561 300000 2
1 78 132
2 69 401
3 64 517
4 57 585
5 89 523
6 57 526
7 57 180
8 77 156
9 36 267
10 94 558
11 64 104
12 28 303
13 67 88
14 24 244
15 43 92
16 43 187
17 62 439
18 22 512
19 43 354
20 99 265
21 26 123
22 43 528
23 24 424
24 87 401
25 88 569
26 37 209
27 30 263
28 28 484
29 91 482
30 30 217
31 38 184
32 40 572
33 31 498
34 36 349
35 58 91
36 76 366
37 83 578
38 38 62
39 78 462
40 35 244
41 57 323
42 30 195
43 79 182
44 26 170
45 73 270
46 63 186
47 70 120
48 59 388
49 49 201
50 75 198
51 45 101
52 93 450
53 61 294
54 51 438
55 66 314
56 47 318
57 60 235
58 83 424
59 89 386
60 70 312
