NOP: 60
NINT: 12
0 44 7
44 80 8
80 124 9
124 164 10
164 208 9
208 238 8
238 282 7
282 330 6
330 367 5
367 406 4
406 460 3
460 300000 2
1 57 178
2 59 467
3 78 506
4 22 518
5 74 507
6 90 488
7 73 331
8 33 219
9 53 343
10 76 246
11 54 342
12 63 383
13 71 335
14 69 537
15 63 423
16 53 77
17 90 478
18 79 184
19 63 242
20 86 216
21 69 238
22 60 338
23 63 397
24 31 405
25 43 342
26 34 448
27 92 369
28 58 78
29 72 405
30 45 216
31 48 502
32 64 362
33 21 328
34 86 228
35 23 121
36 46 442
37 70 86
38 62 425
39 90 495
40 59 479
41 97 510
42 33 205
43 46 342
44 80 443
45 98 379
46 33 148
47 85 299
48 27 372
49 75 278
50 46 125
51 31 91
52 23 103
53 32 434
54 40 436
55 87 455
56 54 248
57 67 90
58 70 399
59 31 270
60 69 521
