NOP: 60
NINT: 18
0 41 1
41 82 2
82 112 3
112 144 4
144 178 5
178 208 6
208 243 7
243 291 8
291 321 9
321 365 10
365 396 9
396 439 8
439 462 7
462 494 6
494 532 5
532 585 4
585 617 3
617 300000 2
1 42 180
2 65 414
3 66 572
4 38 415
5 82 354
6 24 493
7 87 140
8 78 159
9 71 310
10 72 451
11 31 614
12 97 108
13 67 521
14 23 145
15 31 316
16 37 280
17 24 150
18 93 561
19 67 569
20 62 618
21 57 381
22 50 97
23 97 578
24 20 185
25 64 398
26 68 519
27 90 305
28 34 644
29 71 605
30 85 211
31 30 125
32 60 171
33 93 147
34 50 477
35 86 561
36 93 277
37 30 437
38 67 480
39 59 92
40 31 159
41 69 427
42 22 428
43 31 456
44 82 611
45 55 542
46 79 427
47 76 291
48 99 493
49 46 353
50 84 366
51 52 377
52 27 530
53 85 100
54 71 506
55 25 355
56 77 527
57 52 343
58 44 98
59 88 240
60 85 528
