NOP: 60
NINT: 15
0 36 4
36 86 5
86 143 6
143 191 7
191 232 8
232 267 9
267 310 10
310 348 9
348 396 8
396 451 7
451 491 6
491 548 5
548 599 4
599 636 3
636 300000 2
1 40 366
2 53 271
3 54 221
4 41 589
5 73 585
6 52 349
7 32 260
8 93 598
9 73 562
10 98 563
11 55 553
12 65 593
13 69 596
14 33 211
15 69 553
16 94 387
17 46 81
18 48 567
19 46 59
20 74 130
21 61 76
22 83 553
23 23 233
24 74 240
25 60 467
26 76 255
27 93 375
28 70 246
29 57 147
30 99 508
31 73 363
32 77 535
33 94 281
34 99 441
35 74 321
36 74 221
37 52 314
38 36 310
39 74 427
40 44 111
41 82 181
42 69 195
43 34 61
44 66 385
45 58 108
46 81 407
47 54 516
48 73 94
49 51 559
50 34 87
51 41 139
52 43 125
53 31 537
54 37 412
55 84 303
56 71 236
57 81 486
58 95 263
59 77 86
60 43 406
