NOP: 60
NINT: 12
0 45 7
45 94 8
94 134 9
134 182 10
182 235 9
235 270 8
270 317 7
317 371 6
371 404 5
404 445 4
445 485 3
485 300000 2
1 70 229
2 23 234
3 20 261
4 98 389
5 37 414
6 71 513
7 21 228
8 58 518
9 67 299
10 99 272
11 29 160
12 27 254
13 52 330
14 67 133
15 38 346
16 53 209
17 97 133
18 93 386
19 96 103
20 21 324
21 88 502
22 58 410
23 66 386
24 34 312
25 43 169
26 85 462
27 73 174
28 33 492
29 85 480
30 70 345
31 38 386
32 27 141
33 24 312
34 46 523
35 73 112
36 72 169
37 91 509
38 27 404
39 30 49
40 82 177
41 23 267
42 56 351
43 38 301
44 98 519
45 97 118
46 58 341
47 90 121
48 61 119
49 87 514
50 55 127
51 38 297
52 67 190
53 67 520
54 57 284
55 44 500
56 20 294
57 34 142
58 59 391
59 87 144
60 89 152
