NOP: 60
NINT: 13
0 57 6
57 104 7
104 147 8
147 193 9
193 229 10
229 263 9
263 312 8
312 367 7
367 412 6
412 455 5
455 515 4
515 562 3
562 300000 2
1 76 328
2 73 559
3 30 292
4 50 364
5 87 427
6 27 227
7 98 158
8 37 355
9 71 520
10 68 130
11 51 175
12 64 235
13 75 395
14 94 551
15 47 192
16 96 98
17 96 318
18 22 439
19 68 489
20 93 288
21 86 483
22 93 565
23 55 504
24 54 225
25 28 163
26 75 306
27 34 225
28 90 533
29 84 129
30 22 453
31 74 341
32 38 369
33 84 134
34 26 71
35 31 142
36 28 382
37 22 230
38 88 351
39 78 236
40 26 267
41 96 511
42 51 442
43 63 164
44 81 236
45 66 193
46 69 291
47 60 470
48 47 99
49 29 329
50 63 202
51 64 484
52 74 401
53 22 418
54 43 195
55 80 513
56 83 115
57 71 468
58 95 487
59 75 79
60 29 501
