NOP: 60
NINT: 12
0 51 7
51 88 8
88 141 9
141 175 10
175 226 9
226 271 8
271 301 7
301 334 6
334 387 5
387 427 4
427 463 3
463 300000 2
1 21 36
2 96 173
3 62 273
4 78 483
5 57 250
6 89 238
7 67 393
8 41 401
9 39 377
10 60 440
11 63 467
12 77 196
13 52 355
14 39 359
15 32 424
16 64 262
17 86 147
18 74 211
19 50 164
20 51 128
21 20 449
22 33 460
23 29 106
24 66 466
25 83 386
26 66 121
27 47 395
28 65 420
29 40 393
30 36 128
31 82 207
32 66 125
33 34 268
34 43 289
35 80 476
36 80 344
37 89 144
38 24 349
39 86 361
40 51 271
41 61 471
42 32 136
43 30 42
44 21 244
45 76 485
46 33 200
47 74 273
48 34 243
49 74 251
50 27 45
51 27 451
52 82 134
53 46 515
54 80 400
55 49 129
56 97 163
57 33 39
58 37 70
59 83 183
60 58 508
