NOP: 60
NINT: 12
0 44 7
44 86 8
86 131 9
131 163 10
163 210 9
210 246 8
246 297 7
297 339 6
339 380 5
380 428 4
428 465 3
465 300000 2
1 96 321
2 31 512
3 40 472
4 75 203
5 61 262
6 97 510
7 78 374
8 43 118
9 61 347
10 90 500
11 34 444
12 40 44
13 26 296
14 73 267
15 30 243
16 98 194
17 83 165
18 28 173
19 47 348
20 55 59
21 63 97
22 57 304
23 66 133
24 71 200
25 21 527
26 24 118
27 58 530
28 31 316
29 41 289
30 76 391
31 99 185
32 99 122
33 83 449
34 30 49
35 61 144
36 73 475
37 71 400
38 94 448
39 82 412
40 92 222
41 81 306
42 33 539
43 20 418
44 77 447
45 65 74
46 62 316
47 20 242
48 26 449
49 64 191
50 69 229
51 53 97
52 32 316
53 71 452
54 55 152
55 54 457
56 41 339
57 56 436
58 69 376
59 37 44
60 88 411
