NOP: 60
NINT: 15
0 31 4
31 77 5
77 124 6
124 161 7
161 188 8
188 226 9
226 260 10
260 295 9
295 342 8
342 387 7
387 419 6
419 463 5
463 499 4
499 545 3
545 300000 2
1 89 257
2 36 474
3 92 443
4 20 490
5 32 492
6 82 380
7 41 162
8 48 207
9 74 377
10 20 199
11 26 167
12 79 148
13 60 257
14 37 370
15 55 441
16 96 345
17 71 297
18 38 453
19 23 58
20 97 453
21 32 340
22 30 280
23 28 136
24 30 415
25 44 305
26 62 62
27 56 283
28 84 99
29 36 418
30 36 526
31 97 307
32 50 260
33 84 338
34 34 228
35 81 108
36 52 478
37 22 66
38 41 198
39 75 232
40 29 147
41 39 66
42 98 356
43 33 122
44 99 452
45 52 230
46 58 121
47 69 416
48 96 189
49 28 197
50 65 414
51 33 73
52 41 300
53 55 246
54 85 403
55 67 88
56 92 106
57 84 143
58 21 220
59 75 110
60 69 198
