NOP: 60
NINT: 13
0 47 6
47 89 7
89 131 8
131 189 9
189 235 10
235 292 9
292 320 8
320 354 7
354 397 6
397 432 5
432 461 4
461 494 3
494 300000 2
1 74 514
2 67 340
3 50 172
4 89 180
5 72 480
6 91 173
7 43 255
8 64 300
9 30 433
10 67 238
11 66 558
12 39 57
13 28 380
14 72 316
15 22 405
16 76 459
17 57 167
18 51 453
19 22 306
20 62 365
21 82 409
22 38 475
23 36 58
24 52 95
25 76 226
26 23 158
27 84 98
28 65 478
29 86 175
30 83 363
31 85 297
32 23 387
33 43 494
34 97 319
35 71 214
36 70 550
37 42 245
38 73 181
39 91 284
40 26 408
41 78 356
42 44 261
43 89 421
44 92 189
45 79 171
46 63 265
47 60 267
48 68 428
49 51 313
50 76 141
51 63 504
52 27 396
53 61 368
54 22 59
55 83 513
56 82 470
57 74 362
58 32 314
59 99 346
60 62 145
