NOP: 60
NINT: 12
0 51 7
51 100 8
100 150 9
150 198 10
198 248 9
248 296 8
296 337 7
337 391 6
391 428 5
428 474 4
474 520 3
520 300000 2
1 43 443
2 45 211
3 94 531
4 89 451
5 51 68
6 48 190
7 44 175
8 46 270
9 32 392
10 44 67
11 49 481
12 56 419
13 96 538
14 77 542
15 67 91
16 64 69
17 83 557
18 46 201
19 76 153
20 57 354
21 71 255
22 79 301
23 79 268
24 70 83
25 86 240
26 75 287
27 47 394
28 95 519
29 41 244
30 97 428
31 88 417
32 39 350
33 52 172
34 97 550
35 90 475
36 39 466
37 42 297
38 50 434
39 91 375
40 35 323
41 41 351
42 31 504
43 67 472
44 39 314
45 79 551
46 57 170
47 71 502
48 25 127
49 60 356
50 42 377
51 40 399
52 76 92
53 83 532
54 45 140
55 89 314
56 39 258
57 99 387
58 83 305
59 37 73
60 73 101
