NOP: 60
NINT: 14
0 50 5
50 88 6
88 134 7
134 186 8
186 218 9
218 255 10
255 289 9
289 322 8
322 350 7
350 392 6
392 436 5
436 471 4
471 522 3
522 300000 2
1 79 333
2 59 461
3 39 345
4 39 421
5 29 33
6 29 515
7 90 434
8 72 199
9 69 482
10 39 454
11 33 302
12 99 158
13 62 483
14 59 393
15 50 288
16 75 343
17 28 421
18 27 56
19 91 198
20 30 47
21 31 81
22 80 475
23 42 383
24 35 385
25 38 124
26 27 446
27 48 175
28 51 194
29 30 460
30 53 391
31 71 414
32 53 222
33 66 164
34 92 501
35 93 516
36 56 246
37 73 337
38 28 522
39 25 344
40 93 234
41 56 302
42 66 108
43 82 113
44 54 116
45 90 152
46 91 290
47 65 215
48 67 316
49 42 230
50 64 290
51 71 446
52 44 238
53 76 308
54 60 171
55 96 502
56 96 467
57 72 150
58 98 469
59 44 213
60 33 407
