NOP: 60
NINT: 11
0 66 8
66 126 9
126 190 10
190 229 9
229 258 8
258 331 7
331 382 6
382 422 5
422 477 4
477 508 3
508 300000 2
1 54 433
2 79 316
3 99 351
4 99 215
5 43 250
6 89 215
7 88 92
8 56 140
9 73 211
10 76 105
11 87 494
12 43 515
13 96 319
14 59 393
15 84 341
16 78 232
17 59 561
18 20 465
19 43 327
20 38 432
21 90 531
22 57 71
23 71 478
24 30 67
25 38 181
26 20 551
27 37 471
28 99 295
29 86 118
30 88 377
31 79 139
32 29 83
33 38 415
34 61 317
35 32 313
36 45 330
37 55 331
38 59 261
39 78 559
40 41 220
41 69 297
42 67 364
43 40 171
44 63 228
45 92 507
46 98 374
47 62 505
48 61 521
49 57 282
50 83 247
51 32 100
52 29 291
53 91 229
54 50 361
55 65 95
56 69 532
57 37 530
58 75 420
59 37 186
60 48 265
