NOP: 60
NINT: 14
0 22 5
22 81 6
81 112 7
112 143 8
143 173 9
173 203 10
203 248 9
248 293 8
293 325 7
325 350 6
350 382 5
382 422 4
422 460 3
460 300000 2
1 73 385
2 70 207
3 68 75
4 33 508
5 24 355
6 33 38
7 51 373
8 82 284
9 43 514
10 46 477
11 67 232
12 64 132
13 97 539
14 88 210
15 21 366
16 27 474
17 94 286
18 77 436
19 52 169
20 82 354
21 27 105
22 61 208
23 38 363
24 38 503
25 22 22
26 27 335
27 70 97
28 92 340
29 46 448
30 57 197
31 98 378
32 20 359
33 61 140
34 44 489
35 89 172
36 60 256
37 73 404
38 47 536
39 73 110
40 70 94
41 40 459
42 80 424
43 63 71
44 40 426
45 30 163
46 75 381
47 86 211
48 93 471
49 41 70
50 78 365
51 36 303
52 54 171
53 58 113
54 92 260
55 71 80
56 77 416
57 31 417
58 57 392
59 80 393
60 43 371
