NOP: 60
NINT: 10
0 45 9
45 94 10
94 171 9
171 231 8
231 294 7
294 355 6
355 419 5
419 465 4
465 509 3
509 300000 2
1 24 478
2 68 223
3 97 204
4 57 158
5 76 304
6 78 394
7 27 255
8 98 554
9 66 488
10 38 307
11 77 579
12 57 111
13 80 84
14 49 279
15 95 387
16 92 248
17 70 346
18 59 352
19 98 227
20 86 510
21 21 136
22 31 192
23 57 124
24 25 577
25 83 291
26 24 359
27 34 489
28 56 390
29 47 328
30 66 198
31 70 465
32 63 389
33 88 510
34 56 171
35 54 152
36 89 411
37 29 534
38 48 61
39 82 447
40 32 133
41 24 561
42 79 274
43 99 240
44 81 457
45 57 86
46 71 270
47 26 263
48 89 140
49 57 525
50 54 373
51 60 68
52 75 148
53 84 342
54 66 111
55 48 304
56 88 148
57 21 30
58 35 119
59 92 175
60 47 572
