NOP: 60
NINT: 9
0 82 10
82 155 9
155 215 8
215 288 7
288 342 6
342 390 5
390 480 4
480 580 3
580 300000 2
1 67 503
2 24 499
3 92 577
4 50 330
5 26 173
6 48 277
7 68 246
8 29 479
9 91 171
10 91 216
11 40 57
12 76 572
13 31 204
14 88 381
15 28 599
16 90 97
17 76 437
18 50 454
19 62 466
20 45 285
21 71 126
22 21 170
23 44 315
24 26 282
25 92 514
26 88 439
27 55 126
28 94 123
29 33 275
30 83 158
31 39 126
32 25 530
33 64 507
34 48 599
35 53 525
36 74 165
37 71 335
38 38 458
39 84 488
40 81 400
41 77 563
42 74 550
43 61 593
44 84 262
45 44 352
46 59 350
47 78 344
48 66 451
49 27 191
50 69 398
51 91 539
52 72 173
53 56 301
54 32 58
55 66 69
56 42 162
57 76 235
58 95 516
59 58 525
60 92 409
