NOP: 60
NINT: 15
0 21 4
21 55 5
55 93 6
93 124 7
124 155 8
155 192 9
192 232 10
232 269 9
269 305 8
305 346 7
346 377 6
377 415 5
415 454 4
454 490 3
490 300000 2
1 61 192
2 71 445
3 49 90
4 88 566
5 40 346
6 57 197
7 96 546
8 37 82
9 59 464
10 21 313
11 29 475
12 37 536
13 42 367
14 63 167
15 26 326
16 36 121
17 73 207
18 87 382
19 31 482
20 75 147
21 96 315
22 48 112
23 96 543
24 21 370
25 73 492
26 52 404
27 86 391
28 76 303
29 45 136
30 60 514
31 57 532
32 48 229
33 70 159
34 29 244
35 95 126
36 35 138
37 55 385
38 75 493
39 28 98
40 98 288
41 55 161
42 50 255
43 64 440
44 78 412
45 58 295
46 94 560
47 98 451
48 24 338
49 89 104
50 86 285
51 43 254
52 93 374
53 51 131
54 32 263
55 64 102
56 41 323
57 79 102
58 71 94
59 26 353
60 28 200
