17730	6465322	0	85376
16006	6110059	0	106422
14288	5708931	0	122316
14288	5708931	0	126269
13032	5426937	0	102756
13032	5426937	0	104877
11471	5084304	0	110120
11471	5084304	0	78712
11627	5115009	0	87655
12729	5351652	0	86552
10587	4900128	0	92604
10587	4900128	0	94704
10587	4900128	0	89105
12270	5245360	0	94052
12270	5245360	0	90917
11294	5039374	0	95619
12271	5248024	0	119944
12271	5248024	0	116782
11413	5068589	0	117961
11247	5025343	0	146929
11474	5070784	0	139685
11474	5070784	0	140276
11474	5070784	0	142727
11390	5051247	0	130743
11390	5051247	0	130917
11200	5010167	0	124369
11202	5010410	0	126721
11202	5010410	0	130097
10999	4975423	0	128260
10996	4974832	0	122342
11247	5020387	0	134355
11247	5020387	0	135701
11247	5020387	0	152956
11247	5020387	0	142958
11247	5020387	0	143744
11247	5020387	0	144437
11247	5020387	0	144553
11247	5020387	0	152612
11149	4999830	0	157898
11129	4994283	0	155288
11129	4994283	0	163081
11129	4994283	0	171085
11091	4986506	0	139530
11091	4986506	0	151003
11079	4983584	0	166036
11079	4983584	0	152777
11079	4983584	0	136965
11023	4971928	0	157876
11023	4971928	0	168025
11023	4971928	0	146296
11023	4971928	0	151147
11023	4971928	0	144488
