NOP: 60
NINT: 17
0 248 2
248 496 3
496 636 4
636 770 5
770 977 6
977 1167 7
1167 1217 8
1217 1516 9
1516 1695 10
1695 1846 9
1846 1876 8
1876 2051 7
2051 2156 6
2156 2189 5
2189 2320 4
2320 2567 3
2567 300000 2
1 71 84
2 31 901
3 27 310
4 93 450
5 78 815
6 55 491
7 43 341
8 10 1047
9 63 116
10 39 413
11 33 318
12 42 933
13 18 1004
14 44 522
15 71 851
16 30 107
17 26 406
18 89 830
19 57 1443
20 59 1221
21 2 509
22 98 794
23 77 212
24 13 1156
25 65 1252
26 8 462
27 54 577
28 93 1091
29 72 971
30 60 1351
31 51 809
32 75 244
33 83 1378
34 27 469
35 25 1201
36 2 1475
37 11 959
38 59 585
39 89 308
40 74 1274
41 1 940
42 81 964
43 74 117
44 38 351
45 81 469
46 40 904
47 26 505
48 84 639
49 73 1374
50 96 187
51 64 666
52 34 1495
53 66 264
54 37 1084
55 5 854
56 64 1080
57 9 1007
58 57 298
59 11 739
60 88 405
