NOP: 60
NINT: 18
0 122 1
122 345 2
345 414 3
414 582 4
582 859 5
859 955 6
955 1103 7
1103 1201 8
1201 1306 9
1306 1468 10
1468 1642 9
1642 1689 8
1689 1783 7
1783 2028 6
2028 2178 5
2178 2386 4
2386 2542 3
2542 300000 2
1 52 1067
2 11 1314
3 51 951
4 20 427
5 5 1324
6 67 1253
7 61 126
8 91 1155
9 38 78
10 67 744
11 70 979
12 22 204
13 88 525
14 33 127
15 19 241
16 13 284
17 83 1245
18 91 166
19 72 499
20 38 800
21 59 827
22 72 904
23 89 1146
24 38 909
25 75 1194
26 65 613
27 46 668
28 91 1104
29 15 974
30 79 422
31 50 1210
32 35 1223
33 32 99
34 6 380
35 5 620
36 53 107
37 56 978
38 22 619
39 7 229
40 67 664
41 13 103
42 99 891
43 23 429
44 54 71
45 44 212
46 71 1283
47 75 1095
48 13 686
49 44 1363
50 62 863
51 7 350
52 71 793
53 15 59
54 78 1175
55 5 50
56 50 887
57 1 1349
58 36 552
59 48 784
60 47 1031
