NOP: 60
NINT: 18
0 188 2
188 214 3
214 282 4
282 464 5
464 635 6
635 789 7
789 927 8
927 1130 9
1130 1318 10
1318 1510 9
1510 1553 8
1553 1586 7
1586 1855 6
1855 1980 5
1980 2060 4
2060 2223 3
2223 2507 2
2507 300000 1
1 24 1463
2 61 527
3 21 296
4 37 314
5 93 221
6 39 115
7 42 764
8 35 635
9 77 1177
10 3 1351
11 58 816
12 85 1101
13 33 702
14 97 1373
15 38 117
16 7 751
17 58 1315
18 36 1183
19 22 787
20 24 93
21 35 450
22 38 242
23 12 1314
24 64 977
25 1 1380
26 46 1074
27 66 251
28 78 855
29 54 957
30 46 1476
31 3 837
32 84 1410
33 59 101
34 63 968
35 76 1179
36 97 832
37 78 1340
38 42 1012
39 82 914
40 52 850
41 43 292
42 71 312
43 41 907
44 89 476
45 21 417
46 82 170
47 77 592
48 94 1295
49 10 67
50 47 1064
51 33 1133
52 3 404
53 49 1213
54 67 1377
55 12 583
56 30 1048
57 8 1055
58 98 1206
59 62 233
60 63 585
