NOP: 60
NINT: 19
0 167 1
167 229 2
229 537 3
537 609 4
609 816 5
816 961 6
961 1164 7
1164 1242 8
1242 1432 9
1432 1591 10
1591 1776 9
1776 1858 8
1858 2115 7
2115 2395 6
2395 2691 5
2691 2974 4
2974 3262 3
3262 3277 2
3277 300000 1
1 78 257
2 15 1331
3 77 432
4 71 1439
5 50 695
6 71 1058
7 62 951
8 13 328
9 49 841
10 11 874
11 21 281
12 48 1185
13 17 1063
14 74 344
15 77 1083
16 95 969
17 62 167
18 5 903
19 38 1202
20 50 1339
21 83 177
22 79 1123
23 11 529
24 96 1438
25 59 1275
26 66 618
27 23 1087
28 53 966
29 60 1439
30 98 609
31 78 535
32 85 1072
33 79 877
34 44 283
35 59 436
36 94 632
37 69 406
38 65 612
39 77 1044
40 87 851
41 7 1426
42 1 188
43 70 1351
44 87 1195
45 40 265
46 21 1278
47 3 259
48 59 224
49 36 1188
50 40 1000
51 12 1015
52 38 1132
53 58 1524
54 30 422
55 70 959
56 86 234
57 27 559
58 54 684
59 6 1018
60 11 1189
