NOP: 60
NINT: 19
0 126 1
126 137 2
137 175 3
175 398 4
398 482 5
482 595 6
595 598 7
598 701 8
701 900 9
900 1012 10
1012 1264 9
1264 1368 8
1368 1534 7
1534 1585 6
1585 1715 5
1715 1952 4
1952 2101 3
2101 2306 2
2306 300000 1
1 23 170
2 44 958
3 37 382
4 84 367
5 39 815
6 56 739
7 71 483
8 41 610
9 53 62
10 58 1122
11 89 996
12 8 892
13 95 353
14 70 377
15 35 939
16 57 743
17 13 148
18 4 313
19 60 286
20 5 579
21 16 56
22 35 906
23 78 475
24 85 1167
25 24 772
26 10 272
27 5 584
28 36 945
29 39 1033
30 36 327
31 30 51
32 41 835
33 89 1235
34 20 454
35 11 220
36 74 1202
37 10 47
38 36 476
39 43 1149
40 4 303
41 44 441
42 39 1141
43 56 743
44 67 1021
45 68 485
46 24 221
47 29 295
48 18 431
49 58 558
50 7 1110
51 50 1238
52 70 194
53 19 37
54 75 86
55 82 1205
56 17 101
57 14 477
58 95 607
59 80 587
60 58 951
