NOP: 60
NINT: 18
0 314 2
314 596 3
596 653 4
653 729 5
729 829 6
829 1111 7
1111 1219 8
1219 1525 9
1525 1763 10
1763 2012 9
2012 2176 8
2176 2273 7
2273 2486 6
2486 2729 5
2729 2758 4
2758 2951 3
2951 2957 2
2957 300000 1
1 51 986
2 5 616
3 84 130
4 89 1242
5 43 343
6 84 227
7 72 719
8 83 967
9 49 1266
10 63 1222
11 56 423
12 74 1450
13 77 917
14 2 805
15 99 1525
16 51 1566
17 86 1018
18 42 1389
19 2 217
20 42 133
21 65 369
22 42 224
23 26 1363
24 31 601
25 9 374
26 8 1129
27 84 1611
28 31 635
29 29 921
30 2 1105
31 55 190
32 94 917
33 57 205
34 1 424
35 40 319
36 76 829
37 78 1009
38 44 928
39 28 1241
40 94 1561
41 24 875
42 88 1148
43 28 390
44 47 151
45 99 511
46 58 557
47 79 1061
48 56 710
49 82 1226
50 69 1366
51 96 1112
52 38 874
53 82 1164
54 1 602
55 62 617
56 60 813
57 53 652
58 73 286
59 47 1242
60 59 155
