NOP: 60
NINT: 18
0 180 1
180 371 2
371 442 3
442 684 4
684 968 5
968 976 6
976 1167 7
1167 1352 8
1352 1449 9
1449 1720 10
1720 1825 9
1825 1962 8
1962 2104 7
2104 2296 6
2296 2559 5
2559 2643 4
2643 2776 3
2776 300000 2
1 84 287
2 11 378
3 39 1153
4 62 667
5 73 229
6 91 331
7 11 426
8 15 1421
9 86 858
10 23 1054
11 94 702
12 37 762
13 96 1001
14 3 185
15 12 761
16 8 488
17 54 173
18 82 633
19 37 650
20 28 1469
21 29 231
22 89 1364
23 30 780
24 97 258
25 77 1170
26 15 1294
27 14 420
28 54 114
29 94 619
30 29 975
31 51 128
32 86 382
33 91 1430
34 35 553
35 7 688
36 65 1079
37 70 1361
38 73 1160
39 90 1500
40 45 860
41 92 654
42 41 1462
43 43 818
44 59 1314
45 27 721
46 34 212
47 11 1068
48 69 380
49 4 1187
50 54 329
51 29 335
52 35 815
53 80 666
54 48 885
55 54 1071
56 70 508
57 82 810
58 13 1116
59 97 106
60 35 236
