NOP: 60
NINT: 18
0 153 1
153 377 2
377 379 3
379 555 4
555 841 5
841 1062 6
1062 1224 7
1224 1472 8
1472 1540 9
1540 1656 10
1656 1940 9
1940 2034 8
2034 2292 7
2292 2493 6
2493 2594 5
2594 2645 4
2645 2788 3
2788 300000 2
1 98 618
2 15 417
3 73 787
4 97 431
5 48 1440
6 7 705
7 80 843
8 50 342
9 57 716
10 91 294
11 14 842
12 37 1547
13 63 927
14 9 1367
15 41 1538
16 34 960
17 11 1393
18 95 373
19 19 96
20 42 841
21 99 230
22 5 964
23 37 232
24 14 845
25 99 1399
26 90 1007
27 27 1522
28 41 1449
29 48 563
30 82 1472
31 44 93
32 86 929
33 94 408
34 86 1520
35 14 306
36 20 261
37 43 1568
38 44 866
39 63 1227
40 26 1452
41 83 250
42 69 1483
43 94 136
44 27 1250
45 65 485
46 24 113
47 80 1569
48 52 1141
49 63 280
50 82 882
51 56 894
52 70 1318
53 41 1277
54 70 1207
55 7 568
56 21 1268
57 59 1422
58 78 742
59 38 1153
60 52 560
