NOP: 60
NINT: 18
0 174 1
174 444 2
444 738 3
738 742 4
742 971 5
971 1240 6
1240 1418 7
1418 1583 8
1583 1645 9
1645 1687 10
1687 1690 9
1690 1948 8
1948 1980 7
1980 2116 6
2116 2191 5
2191 2254 4
2254 2545 3
2545 300000 2
1 86 1025
2 12 842
3 27 706
4 89 871
5 55 1409
6 85 1193
7 42 236
8 11 199
9 9 375
10 14 886
11 50 1117
12 70 234
13 32 629
14 40 1356
15 97 1442
16 23 123
17 97 99
18 62 762
19 2 402
20 3 1191
21 32 411
22 95 286
23 81 1367
24 66 245
25 32 1390
26 9 469
27 46 1165
28 5 1080
29 75 963
30 82 247
31 99 530
32 2 1371
33 12 608
34 7 361
35 15 1345
36 61 1472
37 32 304
38 60 348
39 92 785
40 92 888
41 66 910
42 97 152
43 32 628
44 83 845
45 66 591
46 67 620
47 24 621
48 50 1287
49 21 1386
50 40 498
51 18 290
52 66 1409
53 89 1232
54 16 787
55 59 1111
56 43 84
57 58 77
58 75 1082
59 94 1134
60 37 1296
