NOP: 60
NINT: 19
0 300 1
300 486 2
486 573 3
573 814 4
814 1030 5
1030 1154 6
1154 1252 7
1252 1448 8
1448 1589 9
1589 1810 10
1810 2001 9
2001 2149 8
2149 2447 7
2447 2684 6
2684 2731 5
2731 2972 4
2972 3149 3
3149 3366 2
3366 300000 1
1 65 252
2 35 384
3 49 572
4 29 666
5 66 945
6 64 853
7 55 726
8 92 305
9 50 945
10 7 455
11 55 1444
12 68 1274
13 35 35
14 48 1001
15 44 497
16 1 1311
17 65 1351
18 28 43
19 37 814
20 8 13
21 54 722
22 91 1169
23 16 652
24 13 890
25 94 710
26 74 1452
27 92 441
28 44 66
29 82 84
30 2 1315
31 86 574
32 43 235
33 46 752
34 36 1503
35 56 607
36 14 224
37 19 733
38 68 875
39 22 1080
40 32 1508
41 80 125
42 20 1203
43 53 425
44 50 696
45 85 775
46 50 744
47 55 1398
48 38 40
49 29 960
50 39 220
51 77 132
52 98 700
53 17 718
54 88 1131
55 35 589
56 63 164
57 79 356
58 64 280
59 91 499
60 35 392
