NOP: 60
NINT: 18
0 50 2
50 174 3
174 378 4
378 527 5
527 790 6
790 884 7
884 988 8
988 1198 9
1198 1295 10
1295 1555 9
1555 1594 8
1594 1655 7
1655 1700 6
1700 1886 5
1886 2029 4
2029 2112 3
2112 2367 2
2367 300000 1
1 36 425
2 57 95
3 92 966
4 90 394
5 50 544
6 14 1427
7 98 989
8 17 893
9 71 1061
10 78 438
11 64 750
12 18 529
13 79 1417
14 61 709
15 80 417
16 21 584
17 22 242
18 38 1087
19 54 844
20 94 1294
21 31 89
22 4 1464
23 6 1328
24 32 345
25 16 44
26 63 1134
27 37 805
28 98 143
29 76 605
30 43 56
31 41 514
32 96 296
33 46 1236
34 98 1469
35 69 243
36 48 272
37 87 1183
38 9 911
39 19 429
40 57 198
41 48 445
42 84 1442
43 60 1497
44 45 871
45 59 806
46 55 1176
47 88 1118
48 11 1411
49 51 433
50 11 1155
51 3 459
52 46 1123
53 27 446
54 48 1486
55 30 1224
56 13 717
57 89 608
58 57 423
59 11 643
60 62 1302
