NOP: 60
NINT: 18
0 257 2
257 306 3
306 631 4
631 816 5
816 893 6
893 1206 7
1206 1343 8
1343 1563 9
1563 1804 10
1804 1865 9
1865 2129 8
2129 2211 7
2211 2399 6
2399 2722 5
2722 2742 4
2742 2958 3
2958 3101 2
3101 300000 1
1 58 678
2 85 1478
3 20 374
4 47 157
5 59 1268
6 65 1266
7 63 995
8 42 958
9 41 770
10 40 1636
11 32 1641
12 77 1057
13 81 1131
14 47 1244
15 87 189
16 70 524
17 23 213
18 2 591
19 99 420
20 23 673
21 29 943
22 67 860
23 51 226
24 76 223
25 8 679
26 32 144
27 79 164
28 89 617
29 39 1208
30 26 203
31 99 805
32 13 612
33 70 1305
34 4 1422
35 56 102
36 42 669
37 18 1567
38 87 471
39 53 1258
40 14 415
41 61 1639
42 67 488
43 85 1418
44 47 329
45 97 348
46 91 446
47 99 671
48 71 1360
49 82 1076
50 37 234
51 35 43
52 98 1041
53 93 958
54 38 319
55 3 849
56 83 913
57 72 947
58 68 794
59 34 296
60 40 639
