NOP: 60
NINT: 19
0 29 1
29 163 2
163 254 3
254 354 4
354 374 5
374 382 6
382 600 7
600 870 8
870 1007 9
1007 1091 10
1091 1295 9
1295 1512 8
1512 1639 7
1639 1750 6
1750 1988 5
1988 2004 4
2004 2057 3
2057 2186 2
2186 300000 1
1 92 465
2 88 755
3 1 1029
4 42 931
5 95 1111
6 90 808
7 41 131
8 4 16
9 65 1313
10 77 879
11 5 811
12 51 729
13 31 997
14 38 1345
15 16 388
16 69 76
17 76 364
18 89 822
19 38 1437
20 62 731
21 18 1153
22 43 1001
23 71 1433
24 2 730
25 26 1473
26 39 478
27 65 321
28 27 522
29 47 619
30 63 1140
31 14 676
32 53 70
33 35 122
34 80 133
35 14 769
36 70 283
37 34 154
38 18 1002
39 58 561
40 41 1361
41 89 1111
42 33 841
43 32 1182
44 48 794
45 47 510
46 64 803
47 3 1158
48 26 481
49 55 357
50 33 509
51 91 507
52 22 1322
53 35 1146
54 90 740
55 36 402
56 95 1038
57 85 1000
58 58 1381
59 86 1318
60 87 231
