NOP: 60
NINT: 18
0 152 1
152 388 2
388 539 3
539 641 4
641 855 5
855 1078 6
1078 1235 7
1235 1240 8
1240 1265 9
1265 1498 10
1498 1729 9
1729 1940 8
1940 2072 7
2072 2292 6
2292 2416 5
2416 2525 4
2525 2629 3
2629 300000 2
1 42 876
2 53 1430
3 22 932
4 76 150
5 48 1272
6 84 677
7 96 1268
8 21 1176
9 9 1023
10 27 1184
11 94 499
12 5 75
13 73 819
14 59 542
15 24 988
16 67 345
17 26 1127
18 62 457
19 41 62
20 75 1178
21 61 1362
22 54 1207
23 48 1461
24 41 992
25 49 1132
26 51 565
27 44 1035
28 5 1368
29 81 1192
30 56 194
31 68 970
32 98 164
33 81 1440
34 16 129
35 12 1238
36 71 1406
37 38 580
38 79 1106
39 6 443
40 17 379
41 69 1317
42 52 339
43 28 1454
44 92 346
45 32 156
46 87 574
47 72 314
48 3 835
49 49 119
50 40 910
51 42 561
52 70 746
53 30 1259
54 45 186
55 97 231
56 43 1000
57 5 870
58 49 1043
59 33 569
60 6 818
