NOP: 60
NINT: 18
0 52 2
52 253 3
253 341 4
341 612 5
612 818 6
818 831 7
831 1124 8
1124 1188 9
1188 1319 10
1319 1393 9
1393 1539 8
1539 1549 7
1549 1863 6
1863 1947 5
1947 2247 4
2247 2406 3
2406 2663 2
2663 300000 1
1 24 178
2 66 87
3 11 667
4 96 1450
5 62 154
6 26 1533
7 22 819
8 47 311
9 55 535
10 73 800
11 86 938
12 48 1543
13 23 1430
14 73 1215
15 66 1374
16 64 1512
17 59 1005
18 87 1005
19 27 1158
20 80 1274
21 9 405
22 75 293
23 24 1177
24 15 72
25 68 1089
26 32 565
27 43 567
28 24 1204
29 46 97
30 14 1625
31 82 735
32 36 193
33 76 1289
34 39 434
35 84 1596
36 52 858
37 98 719
38 38 1373
39 43 1462
40 77 103
41 65 610
42 24 293
43 62 1581
44 64 116
45 87 771
46 46 200
47 71 1642
48 71 1085
49 53 253
50 91 151
51 90 1450
52 48 92
53 78 1160
54 82 1358
55 44 137
56 56 1342
57 60 1323
58 10 627
59 85 1628
60 43 1088
