NOP: 60
NINT: 19
0 255 1
255 286 2
286 572 3
572 742 4
742 750 5
750 842 6
842 995 7
995 1128 8
1128 1142 9
1142 1210 10
1210 1226 9
1226 1353 8
1353 1385 7
1385 1580 6
1580 1644 5
1644 1846 4
1846 2045 3
2045 2303 2
2303 300000 1
1 48 836
2 13 507
3 47 481
4 24 1277
5 60 1398
6 47 565
7 26 963
8 39 319
9 52 287
10 44 553
11 86 503
12 72 537
13 57 91
14 71 429
15 25 1324
16 52 421
17 58 1258
18 83 826
19 22 235
20 48 980
21 42 227
22 82 1289
23 8 58
24 58 475
25 26 753
26 99 1136
27 5 1232
28 90 990
29 41 1195
30 45 100
31 24 737
32 32 1274
33 92 1352
34 56 1149
35 27 981
36 50 762
37 55 824
38 49 523
39 32 404
40 87 1042
41 38 449
42 4 347
43 80 1025
44 27 517
45 68 1091
46 15 1358
47 46 714
48 40 984
49 91 458
50 85 1295
51 95 1249
52 81 1251
53 31 1065
54 18 426
55 43 387
56 1 933
57 29 814
58 35 1326
59 26 385
60 51 240
