NOP: 60
NINT: 19
0 157 1
157 381 2
381 485 3
485 630 4
630 904 5
904 1134 6
1134 1407 7
1407 1635 8
1635 1911 9
1911 2020 10
2020 2212 9
2212 2289 8
2289 2542 7
2542 2769 6
2769 3076 5
3076 3197 4
3197 3371 3
3371 3616 2
3616 300000 1
1 56 1363
2 36 1530
3 88 565
4 61 621
5 2 1385
6 58 1228
7 33 119
8 46 1279
9 34 96
10 22 1340
11 97 247
12 92 1305
13 74 1092
14 42 805
15 94 1467
16 9 1267
17 86 1497
18 94 1065
19 64 935
20 6 163
21 42 389
22 54 1480
23 12 954
24 25 1073
25 8 1344
26 41 1569
27 40 1038
28 35 855
29 61 1032
30 90 802
31 58 1086
32 74 1434
33 47 1375
34 52 148
35 20 496
36 52 1140
37 57 1492
38 30 794
39 84 1090
40 96 1221
41 95 1047
42 18 379
43 96 1081
44 72 1504
45 79 819
46 84 1482
47 53 116
48 64 526
49 14 259
50 59 533
51 43 176
52 10 1057
53 53 698
54 73 1133
55 29 47
56 90 290
57 92 423
58 62 771
59 21 111
60 21 1217
