NOP: 60
NINT: 16
0 35 3
35 70 4
70 107 5
107 137 6
137 166 7
166 205 8
205 245 9
245 277 10
277 318 9
318 351 8
351 394 7
394 428 6
428 470 5
470 501 4
501 559 3
559 300000 2
1 53 394
2 55 321
3 82 118
4 40 133
5 78 229
6 40 464
7 95 131
8 65 334
9 86 518
10 45 73
11 64 182
12 27 223
13 48 204
14 79 197
15 36 198
16 46 138
17 48 68
18 25 194
19 48 251
20 76 118
21 78 100
22 82 449
23 25 319
24 95 314
25 63 437
26 53 281
27 35 553
28 58 415
29 73 471
30 71 397
31 41 204
32 25 327
33 99 173
34 65 153
35 84 509
36 56 225
37 59 191
38 23 140
39 41 563
40 96 268
41 94 171
42 55 538
43 20 386
44 60 189
45 27 434
46 87 260
47 93 235
48 78 311
49 49 139
50 49 584
51 71 245
52 33 354
53 93 564
54 84 478
55 73 495
56 53 466
57 67 211
58 52 143
59 48 252
60 70 565
