NOP: 60
NINT: 18
0 39 1
39 69 2
69 118 3
118 150 4
150 184 5
184 222 6
222 241 7
241 287 8
287 321 9
321 352 10
352 382 9
382 406 8
406 440 7
440 487 6
487 521 5
521 555 4
555 595 3
595 300000 2
1 38 297
2 91 194
3 83 231
4 86 175
5 84 586
6 98 112
7 77 415
8 54 190
9 98 574
10 44 441
11 53 354
12 88 385
13 51 643
14 49 169
15 35 279
16 46 622
17 23 694
18 70 287
19 55 154
20 95 242
21 84 404
22 22 436
23 95 586
24 96 599
25 56 129
26 98 683
27 98 339
28 31 62
29 77 671
30 26 334
31 27 628
32 48 168
33 96 609
34 51 338
35 74 491
36 93 516
37 57 688
38 64 317
39 74 562
40 95 96
41 42 452
42 34 371
43 51 277
44 58 198
45 69 598
46 31 456
47 48 406
48 70 286
49 75 195
50 36 691
51 64 207
52 51 493
53 91 217
54 32 177
55 61 197
56 87 290
57 89 453
58 77 364
59 74 158
60 75 624
