NOP: 60
NINT: 11
0 45 8
45 102 9
102 132 10
132 169 9
169 224 8
224 268 7
268 303 6
303 356 5
356 412 4
412 462 3
462 300000 2
1 26 530
2 77 484
3 66 394
4 50 425
5 77 380
6 31 542
7 67 303
8 59 563
9 87 534
10 87 351
11 40 341
12 88 457
13 78 304
14 97 567
15 95 489
16 22 579
17 68 354
18 98 499
19 85 160
20 94 396
21 55 461
22 33 225
23 91 432
24 98 308
25 39 421
26 57 486
27 41 324
28 94 184
29 64 564
30 53 571
31 48 467
32 67 295
33 29 107
34 57 227
35 92 493
36 58 208
37 61 488
38 79 370
39 39 178
40 60 423
41 58 499
42 47 137
43 78 536
44 20 562
45 68 78
46 24 537
47 48 300
48 43 346
49 57 413
50 64 312
51 99 487
52 26 477
53 49 499
54 86 184
55 73 442
56 67 205
57 64 514
58 67 118
59 41 321
60 83 437
