NOP: 60
NINT: 18
0 43 1
43 85 2
85 113 3
113 153 4
153 184 5
184 213 6
213 240 7
240 264 8
264 301 9
301 334 10
334 374 9
374 407 8
407 436 7
436 483 6
483 520 5
520 560 4
560 595 3
595 300000 2
1 22 617
2 89 459
3 31 109
4 37 460
5 37 205
6 70 168
7 47 54
8 57 571
9 91 221
10 74 291
11 70 289
12 77 432
13 39 447
14 44 470
15 69 447
16 57 215
17 28 221
18 99 563
19 54 505
20 81 286
21 29 560
22 29 550
23 93 587
24 57 336
25 66 373
26 46 606
27 55 601
28 47 487
29 52 588
30 36 254
31 24 500
32 61 603
33 69 457
34 89 224
35 64 251
36 21 69
37 91 568
38 49 187
39 28 95
40 91 581
41 31 95
42 96 180
43 54 482
44 86 602
45 79 175
46 29 281
47 94 397
48 48 525
49 76 545
50 36 580
51 87 565
52 58 187
53 81 183
54 60 149
55 53 390
56 73 102
57 22 614
58 63 134
59 39 351
60 91 444
