NOP: 60
NINT: 16
0 27 3
27 63 4
63 102 5
102 140 6
140 175 7
175 217 8
217 244 9
244 279 10
279 329 9
329 366 8
366 384 7
384 406 6
406 438 5
438 475 4
475 507 3
507 300000 2
1 40 581
2 79 99
3 34 150
4 50 180
5 85 464
6 25 199
7 93 526
8 43 509
9 75 367
10 38 471
11 81 128
12 82 420
13 68 292
14 26 448
15 81 433
16 75 307
17 69 296
18 85 244
19 54 315
20 29 342
21 46 507
22 64 548
23 20 361
24 35 43
25 90 505
26 57 170
27 61 85
28 94 556
29 76 185
30 76 96
31 82 246
32 25 235
33 90 233
34 79 122
35 77 273
36 81 122
37 24 517
38 78 416
39 34 372
40 71 217
41 35 197
42 43 93
43 80 156
44 77 153
45 28 197
46 57 539
47 86 112
48 42 92
49 78 420
50 32 367
51 33 226
52 85 430
53 77 192
54 48 143
55 92 209
56 63 480
57 40 439
58 55 321
59 80 228
60 26 225
