NOP: 60
NINT: 16
0 42 3
42 82 4
82 126 5
126 171 6
171 214 7
214 256 8
256 285 9
285 306 10
306 351 9
351 381 8
381 421 7
421 458 6
458 507 5
507 557 4
557 583 3
583 300000 2
1 30 135
2 95 396
3 77 352
4 66 71
5 93 403
6 90 387
7 50 429
8 72 519
9 27 442
10 60 564
11 55 148
12 44 460
13 32 316
14 83 245
15 78 191
16 38 121
17 29 162
18 67 103
19 80 116
20 69 531
21 78 206
22 32 308
23 95 212
24 87 200
25 90 190
26 59 121
27 67 256
28 62 161
29 29 451
30 54 248
31 99 140
32 38 83
33 77 136
34 40 321
35 24 228
36 91 273
37 30 255
38 89 362
39 53 418
40 28 451
41 23 257
42 78 493
43 36 97
44 52 108
45 29 310
46 41 435
47 87 87
48 94 433
49 55 156
50 97 265
51 38 471
52 72 83
53 65 521
54 71 76
55 50 452
56 71 360
57 28 527
58 40 107
59 27 124
60 30 280
