NOP: 60
NINT: 16
0 43 3
43 83 4
83 133 5
133 168 6
168 206 7
206 238 8
238 263 9
263 285 10
285 328 9
328 359 8
359 397 7
397 436 6
436 467 5
467 515 4
515 554 3
554 300000 2
1 27 421
2 25 258
3 88 102
4 30 90
5 62 172
6 91 569
7 94 301
8 63 277
9 88 176
10 63 269
11 79 326
12 24 511
13 97 120
14 31 471
15 58 69
16 73 509
17 83 399
18 70 468
19 35 302
20 29 249
21 97 419
22 57 253
23 46 491
24 58 198
25 49 340
26 43 119
27 78 342
28 27 170
29 29 199
30 44 504
31 69 424
32 49 430
33 65 368
34 56 144
35 92 334
36 79 93
37 75 309
38 53 199
39 56 162
40 28 316
41 27 175
42 79 180
43 34 46
44 48 247
45 49 551
46 48 555
47 73 108
48 86 290
49 70 382
50 60 566
51 59 409
52 33 90
53 74 256
54 87 498
55 41 314
56 75 413
57 55 563
58 83 128
59 30 502
60 38 38
