NOP: 60
NINT: 17
0 35 2
35 81 3
81 116 4
116 144 5
144 174 6
174 217 7
217 262 8
262 309 9
309 346 10
346 381 9
381 423 8
423 448 7
448 477 6
477 508 5
508 546 4
546 572 3
572 300000 2
1 36 112
2 58 401
3 61 504
4 69 408
5 30 338
6 93 223
7 83 338
8 27 80
9 73 148
10 80 222
11 77 564
12 65 466
13 78 139
14 90 202
15 31 126
16 73 74
17 72 476
18 27 406
19 35 623
20 54 219
21 76 362
22 54 520
23 53 127
24 63 183
25 99 105
26 64 443
27 79 348
28 52 64
29 93 537
30 63 163
31 83 117
32 92 175
33 21 425
34 55 578
35 66 66
36 95 617
37 26 626
38 82 479
39 42 598
40 69 473
41 44 55
42 61 626
43 22 367
44 98 456
45 85 606
46 54 318
47 35 275
48 98 297
49 94 189
50 41 87
51 34 69
52 94 455
53 42 142
54 45 472
55 84 377
56 26 240
57 58 393
58 46 91
59 73 176
60 75 438
