NOP: 60
NINT: 18
0 34 1
34 78 2
78 111 3
111 152 4
152 194 5
194 238 6
238 276 7
276 318 8
318 342 9
342 378 10
378 401 9
401 433 8
433 474 7
474 507 6
507 534 5
534 567 4
567 602 3
602 300000 2
1 79 305
2 66 68
3 82 457
4 40 525
5 64 459
6 53 464
7 66 625
8 55 479
9 83 524
10 61 371
11 49 120
12 50 72
13 28 488
14 53 629
15 97 443
16 34 67
17 69 464
18 53 594
19 90 337
20 89 90
21 81 611
22 23 105
23 58 491
24 45 494
25 31 41
26 89 448
27 95 513
28 90 164
29 99 523
30 83 118
31 93 118
32 25 180
33 64 269
34 87 409
35 55 189
36 29 276
37 69 133
38 20 341
39 26 287
40 74 451
41 94 628
42 63 387
43 28 590
44 58 610
45 73 395
46 94 630
47 73 335
48 53 429
49 37 204
50 41 298
51 93 618
52 49 146
53 32 105
54 62 586
55 45 465
56 24 266
57 23 281
58 27 429
59 53 89
60 72 417
