NOP: 60
NINT: 9
0 57 10
57 104 9
104 148 8
148 203 7
203 252 6
252 321 5
321 384 4
384 456 3
456 300000 2
1 31 118
2 31 503
3 93 501
4 50 205
5 34 329
6 94 401
7 65 381
8 53 339
9 69 374
10 29 489
11 27 462
12 59 296
13 27 343
14 97 221
15 80 360
16 90 502
17 30 176
18 36 238
19 54 423
20 74 465
21 57 105
22 39 252
23 54 188
24 59 366
25 58 145
26 43 249
27 71 530
28 86 434
29 62 548
30 83 222
31 39 573
32 88 406
33 26 106
34 34 518
35 32 471
36 97 327
37 89 352
38 26 291
39 69 555
40 68 185
41 71 264
42 39 183
43 57 549
44 89 437
45 69 266
46 77 361
47 80 435
48 91 161
49 22 267
50 89 372
51 61 508
52 75 258
53 45 420
54 80 566
55 29 53
56 25 221
57 43 280
58 74 406
59 49 446
60 34 171
