NOP: 60
NINT: 17
0 24 2
24 51 3
51 92 4
92 112 5
112 163 6
163 183 7
183 227 8
227 259 9
259 297 10
297 319 9
319 354 8
354 386 7
386 422 6
422 454 5
454 491 4
491 527 3
527 300000 2
1 78 238
2 49 110
3 50 192
4 77 292
5 95 210
6 88 199
7 36 120
8 81 365
9 79 534
10 34 451
11 22 171
12 84 215
13 97 550
14 30 189
15 68 451
16 46 271
17 47 134
18 58 59
19 98 354
20 66 80
21 99 565
22 21 132
23 87 265
24 42 45
25 29 324
26 87 275
27 76 109
28 30 259
29 34 452
30 75 555
31 93 210
32 24 271
33 66 323
34 83 336
35 51 530
36 72 381
37 38 186
38 32 282
39 47 84
40 78 389
41 61 418
42 26 353
43 58 599
44 91 407
45 31 594
46 26 73
47 68 445
48 23 483
49 37 447
50 68 321
51 34 87
52 25 235
53 38 481
54 89 502
55 62 67
56 52 146
57 89 571
58 80 325
59 92 319
60 39 550
