NOP: 60
NINT: 15
0 42 4
42 55 5
55 80 6
80 101 7
101 137 8
137 173 9
173 195 10
195 236 9
236 265 8
265 297 7
297 321 6
321 359 5
359 395 4
395 429 3
429 300000 2
1 60 414
2 77 242
3 26 188
4 24 413
5 25 127
6 25 519
7 39 296
8 23 367
9 72 91
10 21 456
11 48 362
12 42 42
13 48 85
14 23 396
15 93 404
16 45 505
17 46 478
18 88 421
19 26 53
20 23 305
21 28 512
22 35 375
23 49 197
24 94 219
25 92 375
26 90 500
27 46 283
28 70 127
29 40 440
30 76 471
31 34 490
32 67 224
33 57 62
34 72 489
35 33 371
36 61 234
37 65 195
38 71 281
39 65 506
40 58 159
41 78 483
42 20 142
43 69 354
44 64 112
45 94 184
46 20 359
47 23 34
48 25 295
49 97 231
50 60 485
51 85 252
52 75 462
53 50 118
54 59 417
55 96 323
56 97 280
57 25 403
58 73 177
59 86 335
60 63 390
