NOP: 60
NINT: 17
0 36 2
36 69 3
69 93 4
93 133 5
133 183 6
183 219 7
219 257 8
257 284 9
284 313 10
313 351 9
351 390 8
390 426 7
426 452 6
452 492 5
492 525 4
525 557 3
557 300000 2
1 93 347
2 64 120
3 27 199
4 80 571
5 57 180
6 92 472
7 83 221
8 52 80
9 51 125
10 24 535
11 81 153
12 78 405
13 22 138
14 88 287
15 44 91
16 73 337
17 49 246
18 89 277
19 46 441
20 82 509
21 36 408
22 50 136
23 73 518
24 88 279
25 67 446
26 85 384
27 44 76
28 44 281
29 27 541
30 29 111
31 65 582
32 41 551
33 64 97
34 86 551
35 97 187
36 52 225
37 35 259
38 33 149
39 56 242
40 68 231
41 40 408
42 22 207
43 83 280
44 41 226
45 34 383
46 66 172
47 35 497
48 47 102
49 29 59
50 64 509
51 32 470
52 57 513
53 89 109
54 67 254
55 46 539
56 31 157
57 31 544
58 64 567
59 81 421
60 68 122
