NOP: 60
NINT: 18
0 23 1
23 51 2
51 85 3
85 121 4
121 161 5
161 204 6
204 230 7
230 269 8
269 300 9
300 320 10
320 361 9
361 387 8
387 419 7
419 446 6
446 481 5
481 513 4
513 539 3
539 300000 2
1 37 441
2 88 408
3 56 276
4 51 484
5 34 589
6 79 579
7 25 84
8 64 197
9 61 125
10 69 432
11 21 484
12 58 391
13 87 299
14 44 68
15 44 202
16 34 35
17 60 318
18 59 408
19 43 144
20 22 109
21 28 339
22 32 437
23 27 411
24 51 334
25 96 338
26 43 408
27 64 452
28 82 464
29 89 494
30 25 393
31 34 370
32 62 341
33 38 280
34 69 241
35 56 237
36 76 92
37 94 318
38 26 174
39 99 350
40 60 237
41 60 517
42 48 274
43 66 156
44 48 224
45 29 60
46 91 535
47 60 447
48 90 465
49 45 325
50 26 292
51 91 508
52 29 496
53 21 336
54 79 303
55 70 475
56 48 121
57 58 229
58 48 254
59 86 255
60 85 187
