NOP: 60
NINT: 18
0 33 1
33 59 2
59 91 3
91 122 4
122 155 5
155 199 6
199 230 7
230 268 8
268 294 9
294 335 10
335 373 9
373 407 8
407 433 7
433 471 6
471 513 5
513 553 4
553 591 3
591 300000 2
1 20 609
2 86 182
3 41 203
4 51 616
5 84 274
6 52 252
7 40 475
8 78 396
9 91 208
10 55 207
11 39 304
12 35 340
13 95 522
14 45 186
15 31 442
16 52 61
17 64 159
18 35 446
19 83 225
20 35 40
21 21 444
22 66 476
23 76 386
24 25 44
25 46 577
26 91 162
27 41 324
28 84 310
29 89 198
30 78 197
31 44 478
32 42 160
33 23 365
34 62 430
35 84 95
36 80 235
37 74 441
38 21 258
39 20 193
40 82 565
41 70 411
42 44 96
43 80 94
44 71 591
45 76 361
46 42 247
47 68 168
48 97 601
49 46 268
50 66 532
51 39 621
52 36 428
53 23 383
54 50 616
55 84 192
56 76 86
57 69 340
58 85 528
59 67 567
60 47 151
