NOP: 60
NINT: 18
0 44 1
44 71 2
71 107 3
107 150 4
150 180 5
180 205 6
205 235 7
235 279 8
279 320 9
320 348 10
348 379 9
379 419 8
419 450 7
450 488 6
488 515 5
515 550 4
550 585 3
585 300000 2
1 22 326
2 42 392
3 41 322
4 67 177
5 35 142
6 66 397
7 88 261
8 40 454
9 33 130
10 43 647
11 38 545
12 93 577
13 67 590
14 91 217
15 64 310
16 39 621
17 73 421
18 43 293
19 47 532
20 25 41
21 71 339
22 83 238
23 89 96
24 36 602
25 50 74
26 44 625
27 75 445
28 67 571
29 39 293
30 73 438
31 80 211
32 46 608
33 21 240
34 88 259
35 95 278
36 37 341
37 88 337
38 29 53
39 24 360
40 81 242
41 79 598
42 44 394
43 58 587
44 34 120
45 77 269
46 76 371
47 79 198
48 68 443
49 54 489
50 76 166
51 57 333
52 97 360
53 50 431
54 97 451
55 93 238
56 85 540
57 53 268
58 57 129
59 75 415
60 78 477
