NOP: 60
NINT: 16
0 37 3
37 58 4
58 93 5
93 121 6
121 140 7
140 184 8
184 200 9
200 229 10
229 269 9
269 305 8
305 347 7
347 386 6
386 424 5
424 451 4
451 486 3
486 300000 2
1 49 265
2 79 569
3 66 82
4 89 578
5 38 68
6 39 568
7 74 102
8 46 397
9 96 152
10 67 230
11 28 110
12 90 382
13 47 307
14 99 247
15 49 278
16 46 121
17 28 335
18 69 172
19 24 586
20 20 516
21 82 164
22 82 572
23 90 482
24 85 252
25 71 317
26 46 171
27 47 442
28 45 119
29 30 467
30 22 57
31 73 585
32 24 431
33 69 93
34 93 299
35 37 175
36 84 578
37 61 402
38 85 161
39 65 451
40 69 224
41 87 488
42 45 55
43 64 389
44 72 428
45 63 520
46 75 267
47 60 492
48 28 341
49 90 181
50 75 113
51 58 546
52 64 542
53 38 161
54 35 314
55 60 464
56 58 334
57 39 256
58 25 143
59 72 258
60 81 561
