NOP: 60
NINT: 16
0 30 3
30 82 4
82 118 5
118 150 6
150 204 7
204 241 8
241 265 9
265 291 10
291 320 9
320 371 8
371 401 7
401 437 6
437 483 5
483 516 4
516 543 3
543 300000 2
1 76 559
2 76 90
3 82 427
4 20 378
5 47 57
6 89 185
7 51 156
8 75 86
9 55 297
10 63 413
11 96 251
12 29 321
13 94 351
14 37 487
15 68 450
16 55 146
17 32 484
18 49 164
19 31 328
20 70 112
21 90 121
22 76 485
23 53 103
24 69 94
25 21 562
26 69 381
27 85 489
28 60 304
29 22 285
30 81 265
31 81 330
32 45 121
33 62 312
34 40 324
35 62 163
36 33 42
37 98 328
38 50 73
39 49 384
40 69 331
41 46 371
42 90 340
43 40 579
44 59 464
45 37 344
46 70 340
47 35 442
48 85 121
49 20 123
50 27 404
51 88 163
52 68 473
53 40 239
54 49 146
55 36 521
56 23 337
57 87 278
58 76 275
59 81 154
60 94 530
